ind,loanAmount,intRate,installment,grade,annualInc,totCurBal,totalRevHiLim,totHiCredLim,totalBalExMort,totalBcLimit,totalIlHighCreditLimit,Dietz,blade
471," 15,000.00 ", 0.14 ,509.25,B," 45,000.00 "," 27,472.00 ",15200.00,33122,27472,11900,17922,0.09,r
472," 12,000.00 ", 0.16 ,419.58,C," 47,500.00 "," 161,391.00 ",35000.00,189156,16014,18000,0,0.15,w
473," 28,800.00 ", 0.09 ,914.5,A," 65,400.00 "," 164,979.00 ",49000.00,213436,24330,44500,12512,0.04,e
474," 20,000.00 ", 0.08 ,625.81,A," 72,200.00 "," 250,733.00 ",35400.00,293862,82010,25100,80854,0.05,r
475," 34,000.00 ", 0.08 ,1063.87,A," 95,440.00 "," 283,395.00 ",101700.00,621505,74987,92900,52738,0.06,w
476," 24,000.00 ", 0.14 ,814.8,B," 100,000.00 "," 250,198.00 ",79500.00,300709,166552,64000,135467,0.12,e
477," 4,000.00 ", 0.14 ,137.63,C," 80,000.00 "," 478,971.00 ",116700.00,522700,107332,15700,11000,0.10,r
478," 28,000.00 ", 0.09 ,889.09,A," 100,000.00 "," 298,251.00 ",82800.00,397677,136191,82800,146037,0.07,w
479," 10,800.00 ", 0.14 ,371.59,C," 85,000.00 "," 245,673.00 ",29700.00,259595,30073,5300,9995,0.10,e
480," 20,000.00 ", 0.21 ,758.44,E," 180,000.00 "," 142,788.00 ",4400.00,160667,976,1900,0,0.21,r
481," 14,000.00 ", 0.12 ,464.94,B," 57,840.00 "," 97,607.00 ",17400.00,111901,24755,9900,14501,0.11,w
482," 14,000.00 ", 0.16 ,342.25,C," 58,000.00 "," 241,834.00 ",7500.00,254119,20470,1200,21422,-0.16,e
483," 22,800.00 ", 0.08 ,710.48,A," 55,411.00 "," 23,858.00 ",11000.00,42000,23858,5700,31000,0.07,r
484," 6,000.00 ", 0.13 ,201.74,B," 43,000.00 "," 108,412.00 ",14400.00,139011,12345,10000,14611,0.12,w
485," 12,800.00 ", 0.07 ,393.01,A," 120,640.00 "," 277,404.00 ",77900.00,353688,41374,59700,36322,0.04,e
486," 6,000.00 ", 0.08 ,187.75,A," 16,000.00 "," 14,452.00 ",10700.00,22573,14452,4600,11873,-0.21,r
487," 25,000.00 ", 0.16 ,874.12,C," 100,000.00 "," 324,454.00 ",32200.00,350988,66910,27300,53688,0.07,w
488," 7,125.00 ", 0.20 ,188.66,D," 20,000.00 "," 8,295.00 ",10800.00,10800,8295,5400,0,0.29,e
489," 9,000.00 ", 0.09 ,285.78,A," 58,000.00 "," 52,438.00 ",28800.00,82316,52438,18000,53516,0.05,r
490," 12,000.00 ", 0.15 ,285.36,C," 64,000.00 "," 53,415.00 ",31100.00,79995,53415,16700,48895,-0.15,w
491," 10,525.00 ", 0.16 ,368.01,C," 27,700.00 "," 13,758.00 ",27500.00,27500,13758,21600,0,-0.22,e
492," 27,050.00 ", 0.18 ,981.32,D," 65,000.00 "," 87,369.00 ",43000.00,98830,87369,33900,55830,0.14,r
493," 11,000.00 ", 0.13 ,369.84,B," 80,000.00 "," 30,638.00 ",10700.00,47163,30638,5500,36463,-0.17,w
494," 5,000.00 ", 0.14 ,172.04,C," 45,000.00 "," 123,597.00 ",58600.00,156778,32557,41100,0,0.14,e
495," 17,500.00 ", 0.07 ,537.32,A," 125,000.00 "," 193,656.00 ",73900.00,263847,50110,72700,41192,0.04,r
496," 3,500.00 ", 0.13 ,117.68,B," 110,000.00 "," 264,980.00 ",44800.00,303716,51506,800,35172,0.11,w
497," 8,500.00 ", 0.21 ,318.07,E," 113,000.00 "," 8,543.00 ",7200.00,23895,8543,6500,16695,0.20,e
498," 6,600.00 ", 0.10 ,211.95,B," 46,000.00 "," 351,074.00 ",15300.00,386605,15432,11600,11305,0.03,r
499," 11,000.00 ", 0.17 ,273.32,D," 35,000.00 "," 104,248.00 ",16600.00,123127,28475,11600,24468,-0.56,w
500," 10,000.00 ", 0.21 ,267.73,E," 75,000.00 "," 225,465.00 ",38200.00,258159,71358,30400,57914,0.31,e
501," 20,000.00 ", 0.16 ,482.23,C," 50,000.00 "," 33,521.00 ",38000.00,62010,33521,36600,24010,-0.21,r
502," 26,000.00 ", 0.10 ,834.93,B," 110,000.00 "," 274,213.00 ",68000.00,342670,62975,55600,50731,0.09,w
503," 10,000.00 ", 0.11 ,327.34,B," 54,000.00 "," 24,070.00 ",20800.00,36218,24070,6000,15418,0.07,e
504," 5,750.00 ", 0.11 ,188.23,B," 72,000.00 "," 18,514.00 ",19600.00,34113,18514,19600,14513,0.09,r
505," 19,650.00 ", 0.17 ,488.25,D," 57,600.00 "," 206,451.00 ",40200.00,250898,34607,23200,27198,0.10,w
506," 18,000.00 ", 0.18 ,646.87,D," 135,000.00 "," 416,342.00 ",25400.00,434112,71293,22000,45116,0.18,e
507," 16,000.00 ", 0.12 ,531.36,B," 75,000.00 "," 150,364.00 ",5600.00,171719,35173,4700,43719,0.11,r
508," 5,500.00 ", 0.12 ,182.66,B," 75,000.00 "," 322,308.00 ",26659.00,348659,7758,18000,0,0.11,w
509," 20,000.00 ", 0.09 ,635.07,A," 63,000.00 "," 113,893.00 ",39000.00,147366,35547,31300,17788,0.08,e
510," 12,000.00 ", 0.10 ,385.35,B," 99,000.00 "," 196,153.00 ",2000.00,231061,61576,2000,91811,0.05,r
511," 3,000.00 ", 0.18 ,108.84,D," 60,000.00 "," 212,351.00 ",14800.00,248669,43618,4900,62640,0.18,w
512," 24,000.00 ", 0.11 ,785.62,B," 140,000.00 "," 322,043.00 ",45800.00,353251,109735,39800,87532,0.02,e
513," 15,000.00 ", 0.08 ,467.43,A," 81,000.00 "," 35,021.00 ",24600.00,50565,35021,23600,25965,0.07,r
514," 12,000.00 ", 0.16 ,419.58,C," 50,000.00 "," 204,242.00 ",22500.00,220176,42881,20000,29801,0.15,w
515," 24,175.00 ", 0.16 ,590.98,C," 120,000.00 "," 466,230.00 ",20000.00,500863,77400,20000,78535,0.04,e
516," 20,000.00 ", 0.12 ,664.2,B," 100,000.00 "," 226,068.00 ",50000.00,259500,34766,5200,14500,0.11,r
517," 17,000.00 ", 0.08 ,529.75,A," 125,000.00 "," 29,212.00 ",44300.00,59224,29212,34800,14924,0.02,w
518," 16,000.00 ", 0.08 ,500.65,A," 88,000.00 "," 35,233.00 ",36600.00,76193,35233,27400,39593,0.07,e
519," 4,000.00 ", 0.14 ,135.8,B," 75,000.00 "," 283,648.00 ",26500.00,296849,41145,1500,12034,0.12,r
520," 12,000.00 ", 0.14 ,279.1,C," 80,000.00 "," 70,888.00 ",26100.00,105406,9012,19600,12781,0.10,w
521," 20,000.00 ", 0.14 ,679,B," 103,000.00 "," 15,368.00 ",27800.00,34800,15368,10000,7000,0.10,e
522," 12,250.00 ", 0.13 ,411.87,B," 66,000.00 "," 35,933.00 ",10500.00,54934,35933,10500,44434,0.12,r
523," 35,000.00 ", 0.13 ,1176.77,B," 87,000.00 "," 100,307.00 ",27900.00,113905,100307,24100,82264,0.12,w
524," 6,000.00 ", 0.16 ,209.79,C," 36,040.00 "," 80,268.00 ",19100.00,88567,80268,10900,69467,0.07,e
525," 20,950.00 ", 0.12 ,695.74,B," 160,000.00 "," 392,738.00 ",55500.00,500418,111512,47400,153608,0.11,r
526," 24,000.00 ", 0.15 ,570.71,C," 73,000.00 "," 342,323.00 ",57700.00,389670,40982,36200,13970,0.22,w
527," 18,000.00 ", 0.11 ,589.22,B," 85,850.00 "," 44,145.00 ",36000.00,76837,44145,36000,40837,0.10,e
528," 16,000.00 ", 0.09 ,508.06,A," 118,000.00 "," 95,648.00 ",24200.00,135430,37265,16200,40580,0.05,r
529," 10,000.00 ", 0.10 ,321.13,B," 55,000.00 "," 32,551.00 ",13700.00,68950,32551,6700,55250,0.09,w
530," 20,000.00 ", 0.17 ,496.95,D," 50,000.00 "," 44,430.00 ",11900.00,56886,44430,9700,44986,-0.17,e
531," 13,200.00 ", 0.11 ,432.09,B," 40,000.00 "," 36,887.00 ",20800.00,48015,36887,17500,27215,0.10,r
532," 12,000.00 ", 0.10 ,385.35,B," 42,000.00 "," 162,705.00 ",32900.00,196371,30763,20300,27971,0.09,w
533," 8,000.00 ", 0.09 ,254.03,A," 120,000.00 "," 361,108.00 ",49000.00,376594,71733,12000,27594,0.03,e
534," 12,000.00 ", 0.15 ,285.36,C," 95,000.00 "," 52,513.00 ",13500.00,59927,52513,12700,46427,0.14,r
535," 9,000.00 ", 0.12 ,298.89,B," 53,000.00 "," 9,502.00 ",13100.00,13100,9502,4500,0,0.11,w
536," 15,000.00 ", 0.06 ,456.54,A," 105,000.00 "," 281,499.00 ",24600.00,358445,119153,11000,131718,0.05,e
537," 12,675.00 ", 0.16 ,447.12,C," 39,000.00 "," 9,974.00 ",9700.00,20429,9974,9700,10729,0.15,r
538," 8,875.00 ", 0.21 ,336.56,E," 40,000.00 "," 41,010.00 ",21900.00,53442,41010,7300,31542,0.15,w
539," 12,375.00 ", 0.14 ,422.83,C," 74,000.00 "," 33,169.00 ",17500.00,77303,16680,6500,22853,-0.19,e
540," 30,000.00 ", 0.14 ,1018.5,B," 86,761.00 "," 49,316.00 ",36600.00,68755,49316,35000,32155,0.13,r
541," 5,500.00 ", 0.15 ,190.61,C," 30,000.00 "," 42,319.00 ",7200.00,46887,42319,5000,39687,-0.21,w
542," 15,000.00 ", 0.07 ,460.56,A," 50,000.00 "," 40,830.00 ",52500.00,82654,40830,35400,30154,0.06,e
543," 10,000.00 ", 0.12 ,332.1,B," 80,000.00 "," 115,799.00 ",12200.00,138203,43002,7400,51288,0.11,r
544," 10,000.00 ", 0.14 ,344.07,C," 145,000.00 "," 39,465.00 ",6000.00,67162,39465,5700,61162,0.11,w
545," 25,000.00 ", 0.08 ,782.26,A," 50,000.00 "," 26,927.00 ",70700.00,89600,26927,69700,18900,0.07,e
546," 15,000.00 ", 0.16 ,524.48,C," 44,000.00 "," 165,134.00 ",17900.00,180211,40437,11600,34251,0.15,r
547," 11,000.00 ", 0.15 ,261.58,C," 42,500.00 "," 189,793.00 ",39300.00,229699,27844,17000,18550,0.20,w
548," 5,700.00 ", 0.15 ,197.54,C," 46,000.00 "," 3,822.00 ",7900.00,7900,3822,4400,0,0.13,e
549," 7,100.00 ", 0.21 ,265.68,E," 97,692.00 "," 94,693.00 ",9200.00,99593,94693,3300,90393,0.20,r
550," 28,000.00 ", 0.10 ,899.15,B," 85,000.00 "," 285,399.00 ",61400.00,375104,75680,60000,79562,-0.02,w
551," 22,000.00 ", 0.08 ,685.55,A," 125,000.00 "," 455,038.00 ",53000.00,559432,157481,36100,172753,0.07,e
552," 19,000.00 ", 0.16 ,464.47,C," 62,000.00 "," 160,079.00 ",33100.00,185300,29409,29200,18000,-0.05,r
553," 10,000.00 ", 0.14 ,235.13,C," 65,000.00 "," 99,972.00 ",67200.00,189913,57492,40000,36805,0.13,w
554," 12,800.00 ", 0.18 ,460,D," 51,000.00 "," 115,222.00 ",38600.00,142610,36679,12100,23406,-0.24,e
555," 6,400.00 ", 0.13 ,215.18,B," 45,000.00 "," 7,299.00 ",16200.00,16200,7299,6600,0,0.07,r
556," 10,000.00 ", 0.12 ,332.1,B," 27,040.00 "," 6,844.00 ",8800.00,8800,6844,8200,0,0.07,w
557," 15,000.00 ", 0.16 ,361.67,C," 60,000.00 "," 34,577.00 ",45100.00,67641,34577,35300,22541,-0.42,e
558," 24,925.00 ", 0.21 ,681.06,E," 60,000.00 "," 130,491.00 ",16400.00,158873,130491,4900,142473,0.12,r
559," 14,825.00 ", 0.21 ,396.91,E," 38,000.00 "," 40,574.00 ",14100.00,48420,40574,5200,34320,0.16,w
560," 7,550.00 ", 0.12 ,250.74,B," 58,000.00 "," 334,508.00 ",13400.00,366545,18472,4200,8598,0.11,e
561," 10,075.00 ", 0.08 ,313.96,A," 60,000.00 "," 334,947.00 ",26400.00,351237,13054,7100,0,0.07,r
562," 28,000.00 ", 0.10 ,899.15,B," 111,000.00 "," 245,345.00 ",18100.00,277197,41367,4500,43181,0.08,w
563," 21,000.00 ", 0.11 ,456.49,B," 75,000.00 "," 226,880.00 ",36700.00,247711,49454,11000,24292,0.13,e
564," 17,000.00 ", 0.10 ,545.92,B," 108,800.00 "," 183,430.00 ",19200.00,207200,8273,10100,0,0.05,r
565," 12,000.00 ", 0.11 ,392.81,B," 55,000.00 "," 36,193.00 ",27500.00,47611,36193,22200,20111,0.10,w
566," 8,000.00 ", 0.14 ,275.26,C," 39,000.00 "," 115,564.00 ",20100.00,127754,36591,15100,27054,0.07,e
567," 10,800.00 ", 0.07 ,331.6,A," 65,000.00 "," 26,283.00 ",20900.00,56823,26283,12900,35923,0.05,r
568," 20,250.00 ", 0.14 ,691.91,C," 51,000.00 "," 31,530.00 ",37200.00,57180,31530,12600,19980,-0.23,w
569," 16,000.00 ", 0.10 ,513.8,B," 73,000.00 "," 246,728.00 ",7900.00,264668,83250,6300,78868,0.09,e
570," 16,000.00 ", 0.15 ,380.48,C," 110,000.00 "," 427,987.00 ",6800.00,445810,143283,0,143692,0.19,r
571," 14,400.00 ", 0.14 ,331.57,B," 80,000.00 "," 56,733.00 ",33600.00,81990,56733,25100,48390,0.12,w
572," 25,000.00 ", 0.08 ,779.04,A," 90,000.00 "," 148,265.00 ",66200.00,214828,148265,55100,148628,0.07,e
573," 12,000.00 ", 0.14 ,410.02,C," 40,000.00 "," 15,339.00 ",18700.00,26312,15339,9800,7612,0.13,r
574," 16,650.00 ", 0.10 ,534.68,B," 77,000.00 "," 199,998.00 ",21800.00,222050,41245,3000,39712,0.09,w
575," 15,000.00 ", 0.06 ,456.54,A," 120,000.00 "," 40,862.00 ",52800.00,97517,40862,49300,44717,0.05,e
576," 22,400.00 ", 0.07 ,687.77,A," 90,000.00 "," 213,116.00 ",24700.00,242990,64076,12900,62157,0.05,r
577," 32,000.00 ", 0.13 ,1075.9,B," 140,000.00 "," 460,179.00 ",55000.00,481226,62026,12300,12000,0.12,w
578," 27,250.00 ", 0.14 ,937.58,C," 63,684.00 "," 68,212.00 ",4900.00,78649,68212,0,73749,0.14,e
579," 10,000.00 ", 0.07 ,307.04,A," 95,000.00 "," 182,354.00 ",34000.00,234980,26870,32000,33595,0.06,r
580," 11,000.00 ", 0.14 ,373.45,B," 73,500.00 "," 37,187.00 ",12000.00,47377,37187,8100,35377,-0.43,w
581," 24,000.00 ", 0.08 ,750.97,A," 290,000.00 "," 24,251.00 ",28600.00,50780,24251,22700,22140,0.07,e
582," 20,000.00 ", 0.11 ,654.68,B," 68,000.00 "," 237,752.00 ",16500.00,273368,60515,15100,57368,0.10,r
583," 14,075.00 ", 0.14 ,480.92,C," 36,000.00 "," 49,710.00 ",21700.00,48705,49710,16100,27005,0.06,w
584," 10,000.00 ", 0.11 ,327.34,B," 25,000.00 "," 14,285.00 ",35000.00,35000,14285,16500,0,0.10,e
585," 20,000.00 ", 0.19 ,521.24,D," 100,000.00 "," 478,146.00 ",27500.00,505192,141435,13300,133717,-0.57,r
586," 6,075.00 ", 0.11 ,198.86,B," 60,000.00 "," 45,130.00 ",19800.00,53940,45130,15300,34140,0.09,w
587," 9,000.00 ", 0.07 ,276.34,A," 75,000.00 "," 235,304.00 ",26900.00,267153,53190,13400,45953,0.06,e
588," 17,000.00 ", 0.07 ,521.97,A," 120,000.00 "," 233,973.00 ",18800.00,255651,30689,18800,28691,0.06,r
589," 28,000.00 ", 0.08 ,872.52,A," 118,000.00 "," 457,124.00 ",44200.00,565513,58909,44200,81613,0.04,w
590," 6,000.00 ", 0.13 ,201.74,B," 89,460.00 "," 57,349.00 ",14500.00,77273,57349,14500,62773,0.08,e
591," 8,750.00 ", 0.10 ,280.99,B," 45,000.00 "," 90,476.00 ",10500.00,103644,18668,9500,18584,0.07,r
592," 24,000.00 ", 0.14 ,814.8,B," 76,000.00 "," 15,430.00 ",23500.00,40851,15430,12000,17351,0.13,w
593," 15,000.00 ", 0.14 ,512.52,C," 65,000.00 "," 42,801.00 ",54500.00,76372,42801,40000,21872,0.10,e
594," 24,375.00 ", 0.19 ,896.21,D," 275,000.00 "," 7,460.00 ",19500.00,22970,7460,12500,3120,-0.27,r
595," 18,000.00 ", 0.12 ,597.78,B," 80,000.00 "," 181,775.00 ",65400.00,250797,79886,10000,61947,0.11,w
596," 10,000.00 ", 0.11 ,327.34,B," 60,000.00 "," 257,741.00 ",22800.00,278800,14528,18000,0,0.10,e
597," 30,500.00 ", 0.18 ,767.39,D," 70,564.00 "," 139,761.00 ",32900.00,168550,40114,14300,8755,-0.36,r
598," 20,000.00 ", 0.08 ,625.81,A," 112,000.00 "," 306,003.00 ",22400.00,336576,82275,17300,72000,0.07,w
599," 35,000.00 ", 0.13 ,1176.77,B," 170,000.00 "," 687,818.00 ",80500.00,782246,80780,60200,57646,0.12,e
600," 13,750.00 ", 0.11 ,450.1,B," 96,500.00 "," 45,352.00 ",6000.00,64713,45352,6000,58713,-0.60,r
601," 10,000.00 ", 0.08 ,312.91,A," 45,000.00 "," 42,330.00 ",30200.00,71814,42330,30200,41614,0.07,w
602," 25,450.00 ", 0.15 ,605.19,C," 55,000.00 "," 5,342.00 ",20400.00,35056,5342,11500,14278,0.18,e
603," 35,000.00 ", 0.12 ,1162.34,B," 95,000.00 "," 364,501.00 ",68000.00,425791,41069,36100,32791,0.11,r
604," 10,575.00 ", 0.09 ,335.8,A," 39,000.00 "," 194,060.00 ",16100.00,224505,11016,16100,8405,0.08,w
605," 8,000.00 ", 0.11 ,261.88,B," 60,000.00 "," 9,071.00 ",10400.00,10400,9071,9800,0,0.10,e
606," 10,000.00 ", 0.09 ,317.54,A," 91,000.00 "," 212,408.00 ",32600.00,253861,39270,8000,43394,0.08,r
607," 6,825.00 ", 0.10 ,219.17,B," 85,000.00 "," 61,842.00 ",11800.00,73857,61842,7500,62057,0.02,w
608," 35,000.00 ", 0.20 ,1300.2,D," 115,000.00 "," 76,438.00 ",26200.00,98036,76438,24400,71836,0.09,e
609," 32,000.00 ", 0.13 ,1075.9,B," 74,660.00 "," 310,165.00 ",54100.00,338100,102161,52200,71133,0.12,r
610," 9,000.00 ", 0.09 ,285.78,A," 50,000.00 "," 135,629.00 ",29700.00,172546,24352,19700,28378,-0.59,w
611," 30,000.00 ", 0.14 ,697.74,C," 165,000.00 "," 739,061.00 ",37400.00,801888,34758,31300,22389,0.10,e
612," 15,000.00 ", 0.12 ,498.15,B," 120,000.00 "," 602,134.00 ",51400.00,638066,91037,25400,53666,0.11,r
613," 19,550.00 ", 0.08 ,609.21,A," 65,478.00 "," 109,335.00 ",20100.00,106980,109335,20100,86880,-0.38,w
614," 10,000.00 ", 0.14 ,341.68,C," 68,000.00 "," 51,147.00 ",17400.00,82946,51147,9700,65546,0.05,e
615," 16,000.00 ", 0.15 ,380.48,C," 75,000.00 "," 323,435.00 ",69000.00,376743,102276,40300,75743,0.18,r
616," 9,000.00 ", 0.14 ,309.66,C," 37,000.00 "," 11,965.00 ",18200.00,18200,11965,10900,0,0.14,w
617," 21,000.00 ", 0.09 ,666.82,A," 115,000.00 "," 240,617.00 ",29100.00,287108,35281,10800,29053,0.08,e
618," 20,000.00 ", 0.07 ,614.08,A," 90,000.00 "," 258,240.00 ",50100.00,331580,52276,45000,57480,0.06,r
619," 6,525.00 ", 0.12 ,216.7,B," 45,000.00 "," 28,415.00 ",14800.00,37222,28415,12500,22422,0.12,w
620," 20,000.00 ", 0.09 ,635.07,A," 72,000.00 "," 231,586.00 ",39200.00,252925,39413,23900,21200,0.02,e
621," 21,500.00 ", 0.11 ,703.79,B," 89,000.00 "," 366,819.00 ",113100.00,496128,73415,86300,75884,0.10,r
622," 30,225.00 ", 0.14 ,1039.94,C," 73,000.00 "," 165,206.00 ",40100.00,201457,48453,15500,38957,0.14,w
623," 16,450.00 ", 0.17 ,586.41,D," 50,000.00 "," 99,195.00 ",14500.00,121074,20609,12000,25962,0.17,e
624," 9,000.00 ", 0.11 ,294.61,B," 50,000.00 "," 30,382.00 ",21500.00,40220,30382,21500,18720,0.08,r
625," 28,000.00 ", 0.08 ,872.52,A," 159,000.00 "," 404,177.00 ",112500.00,455089,158455,27500,77544,0.02,w
626," 15,000.00 ", 0.15 ,356.7,C," 75,000.00 "," 11,620.00 ",16700.00,16700,11620,15900,0,0.02,e
627," 21,000.00 ", 0.09 ,666.82,A," 262,000.00 "," 498,292.00 ",97961.00,590967,182348,83960,98932,0.08,r
628," 6,075.00 ", 0.14 ,207.58,C," 16,240.00 "," 8,077.00 ",22200.00,22200,8077,14400,0,0.13,w
629," 13,000.00 ", 0.10 ,417.47,B," 64,000.00 "," 147,584.00 ",11400.00,166924,10864,5200,6500,-0.30,e
630," 4,550.00 ", 0.16 ,159.09,C," 95,000.00 "," 168,937.00 ",24700.00,201830,26766,9600,24070,0.03,r
631," 26,400.00 ", 0.15 ,914.91,C," 82,000.00 "," 200,082.00 ",39200.00,223469,38313,17400,20452,0.14,w
632," 14,125.00 ", 0.14 ,479.55,B," 35,000.00 "," 15,509.00 ",16500.00,38105,15509,8500,21605,0.09,e
633," 14,075.00 ", 0.13 ,473.23,B," 32,000.00 "," 15,815.00 ",13700.00,29270,15815,7000,15000,0.01,r
634," 19,750.00 ", 0.14 ,674.82,C," 120,000.00 "," 131,795.00 ",10400.00,148222,28519,10100,30611,-0.11,w
635," 15,000.00 ", 0.12 ,498.15,B," 99,000.00 "," 215,957.00 ",15300.00,239153,36306,10500,33953,0.03,e
636," 15,000.00 ", 0.20 ,397.16,D," 58,000.00 "," 264,465.00 ",7600.00,277599,35569,6200,36083,0.15,r
637," 15,000.00 ", 0.09 ,476.3,A," 75,000.00 "," 171,451.00 ",29000.00,202429,6888,19600,0,0.08,w
638," 11,000.00 ", 0.10 ,353.24,B," 32,000.00 "," 22,340.00 ",44700.00,66752,22340,42400,22052,0.05,e
639," 14,500.00 ", 0.13 ,487.52,B," 54,216.00 "," 185,546.00 ",27600.00,206700,30658,27100,5500,0.12,r
640," 11,500.00 ", 0.15 ,398.54,C," 30,000.00 "," 49,699.00 ",29600.00,68797,49699,12300,39197,0.13,w
641," 19,200.00 ", 0.17 ,477.07,D," 135,000.00 "," 42,423.00 ",12700.00,75071,42423,8200,62371,0.15,e
642," 12,800.00 ", 0.13 ,430.36,B," 40,000.00 "," 209,171.00 ",52600.00,237179,34544,41000,7300,0.12,r
643," 5,600.00 ", 0.13 ,188.29,B," 69,000.00 "," 38,632.00 ",27700.00,54899,38632,13000,27199,0.12,w
644," 21,000.00 ", 0.09 ,666.82,A," 200,000.00 "," 67,233.00 ",60200.00,116196,67233,52100,55996,0.08,e
645," 20,000.00 ", 0.24 ,571.89,F," 102,000.00 "," 169,984.00 ",50800.00,176023,169984,47800,122104,0.26,r
646," 6,000.00 ", 0.11 ,196.41,B," 70,000.00 "," 240,519.00 ",20400.00,274069,28011,19200,23332,0.10,w
647," 12,000.00 ", 0.09 ,381.04,A," 70,000.00 "," 23,891.00 ",38500.00,60027,23891,26500,21527,0.05,e
648," 14,000.00 ", 0.08 ,436.26,A," 70,000.00 "," 84,288.00 ",20000.00,90583,84288,20000,70583,0.06,r
649," 10,000.00 ", 0.09 ,317.54,A," 115,000.00 "," 101,329.00 ",18700.00,141387,101329,3500,122687,0.08,w
650," 18,000.00 ", 0.14 ,611.1,B," 80,000.00 "," 7,818.00 ",6300.00,11381,7818,6300,0,0.13,e
651," 11,000.00 ", 0.18 ,276.77,D," 44,000.00 "," 213,624.00 ",9200.00,229853,9862,2400,12003,0.27,r
652," 24,275.00 ", 0.18 ,610.77,D," 55,968.00 "," 153,073.00 ",23200.00,169530,37584,22000,22005,0.11,w
653," 10,000.00 ", 0.08 ,312.91,A," 33,000.00 "," 34,070.00 ",14000.00,49769,34070,14000,35769,0.07,e
654," 15,000.00 ", 0.14 ,348.87,C," 75,000.00 "," 231,101.00 ",30300.00,241334,24403,24200,0,0.21,r
655," 10,800.00 ", 0.14 ,369.02,C," 78,000.00 "," 268,921.00 ",16200.00,311451,21437,7600,15751,0.13,w
656," 10,000.00 ", 0.14 ,339.5,B," 31,200.00 "," 14,336.00 ",24700.00,24700,14336,10100,0,0.06,e
657," 7,125.00 ", 0.13 ,239.56,B," 28,000.00 "," 14,711.00 ",22400.00,30400,14711,21000,8000,0.04,r
658," 10,625.00 ", 0.23 ,298.92,E," 50,000.00 "," 27,971.00 ",13000.00,39089,27971,3300,26089,0.32,w
659," 8,700.00 ", 0.10 ,279.38,B," 110,000.00 "," 236,018.00 ",20200.00,234612,236018,10200,214412,0.09,e
660," 20,000.00 ", 0.20 ,529.55,D," 51,000.00 "," 77,596.00 ",27700.00,105634,47323,22400,42984,0.14,r
661," 20,000.00 ", 0.08 ,623.23,A," 90,000.00 "," 44,224.00 ",58800.00,85211,44224,56800,26411,0.07,w
662," 33,000.00 ", 0.10 ,1059.72,B," 82,000.00 "," 51,229.00 ",53700.00,64816,51229,31700,11116,0.07,e
663," 13,000.00 ", 0.12 ,289.12,B," 58,000.00 "," 60,036.00 ",20300.00,75379,60036,15500,55079,0.18,r
664," 10,500.00 ", 0.10 ,337.19,B," 80,000.00 "," 127,390.00 ",37200.00,159315,13746,23300,7300,0.09,w
665," 22,000.00 ", 0.08 ,685.55,A," 60,000.00 "," 27,019.00 ",65200.00,74505,27019,55600,9305,0.07,e
666," 8,800.00 ", 0.14 ,298.76,B," 48,000.00 "," 159,940.00 ",22800.00,178167,73288,16800,65700,0.13,r
667," 10,000.00 ", 0.14 ,339.5,B," 70,000.00 "," 395,664.00 ",31900.00,407351,128381,21700,92651,0.12,w
668," 18,000.00 ", 0.09 ,571.56,A," 114,000.00 "," 374,625.00 ",41900.00,417687,76612,35500,70314,0.09,e
669," 15,000.00 ", 0.09 ,476.3,A," 68,000.00 "," 33,837.00 ",21600.00,48859,33837,11600,26425,0.08,r
670," 10,400.00 ", 0.08 ,325.42,A," 83,000.00 "," 34,840.00 ",51300.00,75149,34840,50500,23849,0.06,w
671," 3,000.00 ", 0.10 ,96.34,B," 85,000.00 "," 27,245.00 ",8900.00,46195,27245,8900,37295,0.08,e
672," 7,500.00 ", 0.11 ,245.51,B," 30,500.00 "," 23,254.00 ",11000.00,31125,23254,7700,20125,0.10,r
673," 9,600.00 ", 0.14 ,328.02,C," 50,000.00 "," 20,620.00 ",11600.00,28105,20620,6000,16505,0.05,w
674," 35,000.00 ", 0.20 ,926.71,D," 90,000.00 "," 224,810.00 ",22700.00,234840,50240,7900,35140,-0.08,e
675," 16,850.00 ", 0.17 ,418.68,D," 65,000.00 "," 145,689.00 ",33700.00,164219,78933,12000,61938,0.11,r
676," 26,375.00 ", 0.26 ,786.57,G," 84,000.00 "," 62,163.00 ",7500.00,81271,62163,6400,73771,-0.29,w
677," 10,000.00 ", 0.14 ,339.5,B," 35,000.00 "," 8,049.00 ",10900.00,10900,8049,4400,0,0.01,e
678," 7,000.00 ", 0.14 ,237.65,B," 92,000.00 "," 119,783.00 ",27400.00,149427,58044,19400,33627,0.10,r
679," 20,000.00 ", 0.11 ,654.68,B," 73,000.00 "," 152,891.00 ",4800.00,177316,30985,3100,47773,0.10,w
680," 18,000.00 ", 0.13 ,605.2,B," 52,000.00 "," 88,323.00 ",37900.00,130952,15165,11600,18000,0.03,e
681," 7,500.00 ", 0.14 ,256.26,C," 261,000.00 "," 492,064.00 ",5300.00,526512,90758,5300,117462,0.13,r
682," 22,000.00 ", 0.16 ,769.23,C," 109,000.00 "," 231,876.00 ",23500.00,246221,50650,23500,34497,0.13,w
683," 11,000.00 ", 0.13 ,369.84,B," 52,000.00 "," 26,001.00 ",17200.00,35142,26001,17100,17942,0.12,e
684," 20,000.00 ", 0.12 ,444.79,B," 75,514.00 "," 272,139.00 ",53300.00,328104,44806,42500,44604,0.05,r
